Dog breed,Column1,category,Column2,datadog score,POPULARITY IN US,"LIFETIME COST, $",Column4,INTELLIGENCE (TRAINABILITY) ranking, LONGEVITY, NO. OF GENETIC AILMENTS," average purchase price, US$"," food costs per year, US$", grooming required , suitability for children ,Column5,POPULAR RATING,Column6,size category,weight (kg),weight (lbs),shoulder height (cm),shoulder height (in),Column7,intelligence category,GENETIC DISEASES,most abandoned?
Tibetan Terrier,,non-sporting,,2.75,86,"$20,336",,62,12.31,0,"$1,140",$324,2,2,,86,,small,11,24,39,15.5,,Fair,none,
Gordon Setter,,sporting,,2.73,94,"$19,605",,34,11.1,1,$700,$466,2,1,,94,,large,28,62.5,64,25,,Above average,hip problems,
English Setter,,sporting,,2.72,87,"$20,312",,37,11.57,2,$615,$466,2,1,,87,,large,no data,no data,62,24.5,,Above average,"deafness, hip problems",
Pug,,toy,,2.72,26,"$18,527",,57,11,1,$469,$405,2,1,,26,,medium,7,16,41,16,,Fair,'dry eye',
Briard,,herding,,2.71,125,"$19,673",,30,11.17,1,$650,$466,1,1,,125,,large,no data,no data,62,24.5,,Above average,hip problems,
Norfolk Terrier,,terrier,,2.71,120,"$24,308",,56,13.07,0,"$2,083",$466,2,2,,120,,small,5,12,24,9.5,,Fair,none,
Flat-Coated Retriever,,sporting,,2.7,90,"$16,000",,18,9.02,0,$600,$466,1,1,,90,,medium,no data,no data,59,23.25,,Excellent,none,
Boston Terrier,,non-sporting,,2.61,22,"$17,741",,54,10.92,1,$690,$324,2,1,,22,,medium,NA (3 classes),NA (3 classes),no data,no data,,Average,breathing problems,
Doberman Pinscher,,working,,2.59,13,"$18,397",,5,10.33,4,$790,$466,2,2,,13,,large,no data,no data,66,26,,Brightest,"heart, spine, blood clotting disorders",
English Toy Spaniel,,toy,,2.59,129,"$17,521",,45,10.1,0,$925,$405,2,2,,129,,small,5,11,25,10,,Average,none,
Belgian Tervuren,,herding,,2.57,108,"$19,132",,14,10.6,2,"$1,070",$466,2,1,,108,,large,no data,no data,61,24,,Excellent,"epilepsy, eye problems",
Cavalier King Charles Spaniel,,toy,,2.57,21,"$18,639",,44,11.29,2,"$1,017",$324,2,1,,21,,small,7,15.5,32,12.5,,Average,"heart, spinal problems",
Dalmatian,,non-sporting,,2.57,73,"$19,886",,39,11.27,2,$695,$466,2,1,,73,,medium,no data,no data,53,21,,Above average,"deafness, urinary stones",
Basset Hound,,hound,,2.54,41,"$18,328",,71,11.43,2,$490,$324,2,1,,41,,small,no data,no data,36,14,,Lowest,"blood, skin disorders",
Basenji,,hound,,2.51,93,"$22,096",,79,13.58,3,$940,$324,2,2,,93,,medium,10,23,42,16.5,,Lowest,"kidney, eye problems, anaemia",
Italian Greyhound,,toy,,2.49,65,"$16,463",,60,10.02,0,$800,$324,2,3,,65,,small,no data,no data,36,14,,Fair,none,
Staffordshire Bull Terrier,,terrier,,2.48,76,"$21,650",,49,12.05,1,"$1,145",$466,2,1,,76,,medium,14,31,38,15,,Average,hip problems,
Bouvier des Flandres,,herding,,2.47,83,"$18,959",,29,10.34,1,"$1,335",$466,2,1,,83,,large,no data,no data,65,25.5,,Above average,hip problems,
Pembroke Welsh Corgi,,herding,,2.45,25,"$23,978",,11,12.25,9,$587,$674,2,1,,25,,small,12,26,28,11,,Excellent,"cataracts + other eye problems, connective tissue, nerves, kidneys, spine, blood clotting disorders",
Clumber Spaniel,,sporting,,2.44,133,"$18,084",,37,10,0,"$1,033",$466,2,1,,133,,medium,32,70,47,18.5,,Above average,none,
Dandie Dinmont Terrier,,terrier,,2.42,160,"$21,633",,62,12.17,0,$925,$466,1,1,,160,,small,10,21,23,9,,Fair,none,
Saluki,,hound,,2.41,117,"$24,866",,43,12,0,"$1,525",$710,1,1,,117,,medium,no data,no data,58,23,,Average,none,
Giant Schnauzer,,working,,2.38,95,"$26,686",,28,10,1,$810,"$1,349",1,2,,95,,large,35,77.5,65,25.5,,Above average,hip problems,
Greyhound,,hound,,2.29,140,"$15,819",,46,9.36,1,"$1,175",$324,2,1,,140,,large,29,65,no data,no data,,Average,blood vessel disorders,
Scottish Terrier,,terrier,,2.27,54,"$17,525",,65,10.69,1,$829,$324,1,2,,54,,small,9,20,25,10,,Fair,blood clotting disorder,
Rottweiler,,working,,2.24,10,"$18,886",,9,9.11,3,"$1,118",$710,2,2,,10,,large,no data,no data,62,24.5,,Brightest,"heart, elbow, hip problems",
Kerry Blue Terrier,,terrier,,2.13,124,"$17,240",,35,9.4,1,"$1,200",$466,1,2,,124,,medium,17,36.5,47,18.5,,Above average,heart problems,
Afghan Hound,,hound,,2.08,88,"$24,077",,80,11.92,0,$890,$710,1,1,,88,,large,25,55,66,26,,Lowest,none,
Newfoundland,,working,,2.07,43,"$19,351",,34,9.32,2,"$1,178",$710,2,1,,43,,large,57,125,69,27,,Above average,"hip problems, heart defects",
German Shepherd,,herding,,2.06,2,"$17,416",,3,9.73,8,$820,$466,2,2,,2,,large,no data,no data,61,24,,Brightest,"nerves, pancreas, blood (hemophilia), hip joints",
Pekingese,,toy,,2.05,64,"$20,565",,74,11.56,1,$885,$466,1,2,,64,,small,6,13,no data,no data,,Lowest,knee problems,
Old English Sheepdog,,herding,,2.04,84,"$22,611",,63,11.19,1,$832,$710,1,1,,84,,medium,no data,no data,56,22,,Fair,hip problems,
Akita,,working,,1.95,47,"$20,994",,54,10.16,1,"$1,202",$710,2,3,,47,,large,no data,no data,66,26,,Average,hip problems,
Rhodesian Ridgeback,,hound,,1.91,44,"$16,530",,52,9.1,2,$995,$466,2,2,,44,,large,35,77.5,65,25.5,,Average,"birth defects, hip problems",
French Bulldog,,non-sporting,,1.9,18,"$17,266",,58,9,0,"$1,900",$466,2,1,,18,,medium,12,27,no data,no data,,Fair,none,
Borzoi,,hound,,1.89,102,"$16,176",,76,9.08,0,$675,$466,1,2,,102,,large,37,82.5,71,28,,Lowest,none,
Bernese Mountain Dog,,working,,1.85,34,"$16,099",,22,7.56,4,"$1,320",$710,2,1,,34,,large,no data,no data,64,25.25,,Excellent,"meningitis, elbow + hip problems, complex immune disorder",
Bull Terrier,,terrier,,1.85,51,"$18,490",,66,10.21,2,"$1,085",$466,2,2,,51,,medium,27,60,55,21.5,,Fair,"heart problems, zinc metabolism disorder",
Boxer,,working,,1.83,7,"$15,746",,48,8.81,4,$700,$466,2,1,,7,,medium,no data,no data,59,23.25,,Average,"eye, nerve, heart problems",
Alaskan Malamute,,working,,1.82,58,"$21,986",,50,10.67,2,"$1,210",$710,1,2,,58,,large,36,80,61,24,,Average,"hip problems, dwarfism",
Chow Chow,,non-sporting,,1.76,68,"$15,898",,77,9.01,2,$515,$466,1,2,,68,,medium,no data,no data,47,18.5,,Lowest,"eye, hip problems",
Bloodhound,,hound,,1.66,48,"$13,824",,75,6.75,2,$608,$710,2,2,,48,,large,39,85,64,25,,Lowest,"fatal stomach bloat, skin problems",
Irish Wolfhound,,hound,,1.66,79,"$18,435",,41,6.94,3,"$1,333","$1,217",2,1,,79,,large,no data,no data,81,32,,Average,"heart, liver, hip problems",
Bullmastiff,,working,,1.64,40,"$13,936",,69,7.57,2,$980,$466,2,1,,40,,large,52,115,65,25.5,,Fair,"eye, hip problems",
Mastiff,,working,,1.57,28,"$13,581",,72,6.5,2,$900,$701,2,1,,28,,large,79,175,76,30,,Lowest,"hip, heart problems",
Great Dane,,working,,1.53,19,"$14,662",,48,6.96,4,"$1,040",$710,2,1,,19,,large,no data,no data,76,30,,Average,"heart, spinal, hip problems, fatal stomach bloat",
Saint Bernard,,working,,1.42,49,"$20,022",,65,7.78,3,$875,"$1,217",1,1,,49,,large,70,155,67,26.5,,Fair,"heart, hip disorders, fatal stomach bloat",
Bulldog,,non-sporting,,0.99,6,"$13,479",,78,6.29,5,"$2,680",$466,2,2,,6,,medium,20,45,no data,no data,,Lowest,"breathing, hip, heart problems, 'dry eye'",
Airedale Terrier,,terrier,,,55,no data,,29,11.45,1,$733,,no data,no data,,,,medium,no data,no data,58,23,,Above average,hip problems,
American English Coonhound,,hound,,,33,no data,,no data,11.5,no data,$283,,no data,no data,,,,large,no data,no data,62,24.5,,no data,no data,
American Eskimo Dog,,non-sporting,,,116,no data,,no data,no data,0,$560,,no data,no data,,,,small,no data,no data,36,14,,no data,none,
American Foxhound,,hound,,,173,no data,,46,no data,no data,$757,,no data,no data,,,,medium,no data,no data,58,23,,Average,no data,
American Staffordshire Terrier,,terrier,,,72,no data,,34,no data,1,"$1,043",,no data,no data,,,,medium,no data,no data,46,18,,Above average,skin problems,
American Water Spaniel,,sporting,,,157,no data,,44,no data,0,$730,,no data,no data,,,,medium,16,35,42,16.5,,Average,none,
Anatolian Shepherd Dog,,working,,,111,no data,,no data,10.75,no data,no data,,2,2,,,,large,52,115,71,28,,no data,no data,
Bearded Collie,,herding,,,112,no data,,34,12.77,0,no data,,1,1,,,,medium,no data,no data,53,21,,Above average,none,
Beauceron,,herding,,,144,no data,,no data,no data,no data,$967,,no data,no data,,,,large,no data,no data,65,25.75,,no data,no data,
Belgian Malinois,,herding,,,74,no data,,22,no data,0,"$1,080",,2,1,,,,large,no data,no data,61,24,,Excellent,none,
Belgian Sheepdog,,herding,,,118,no data,,15,no data,4,no data,,no data,no data,,,,large,no data,no data,61,24,,Excellent,"cataracts + other eye problems, muscular dystrophy",
Black and Tan Coonhound,,hound,,,109,no data,,44,no data,0,$325,,no data,no data,,,,large,no data,no data,64,25,,Average,none,
Black Russian Terrier,,working,,,128,no data,,no data,1.83 - really?,0,"$2,833",,no data,no data,,,,large,no data,no data,71,28,,no data,none,
Bluetick Coonhound,,hound,,,136,no data,,no data,no data,0,$370,,no data,no data,,,,large,28,62.5,61,24,,no data,none,
Boykin Spaniel,,sporting,,,138,no data,,no data,no data,no data,$531,,no data,no data,,,,medium,no data,no data,41,16,,no data,no data,
Canaan Dog,,herding,,,168,no data,,no data,14.67,0,no data,,2,1,,,,medium,20,45,55,21.5,,no data,none,
Cane Corso,,working,,,67,no data,,no data,no data,no data,"$1,070",,no data,no data,,,,large,no data,no data,64,25,,no data,no data,
Cardigan Welsh Corgi,,herding,,,81,no data,,26,12.7,0,$828,,no data,no data,,,,small,14,31.5,29,11.5,,Excellent,none,
Cesky Terrier,,terrier,,,106,no data,,no data,8.42,no data,no data,,2,1,,,,small,9,19,29,11.5,,no data,no data,
Chinese Crested,,toy,,,61,no data,,61,10.08,no data,$538,,no data,no data,,,,small,no data,no data,30,12,,Fair,no data,
Chinese Shar Pei,,non-sporting,,,50,no data,,51,no data,4,$840,,no data,no data,,,,medium,24,52.5,48,19,,Average,"canine hay fever, skin, eye, hip problems",
Collie,,herding,,,36,no data,,16,no data,2,$650,,no data,no data,,,,large,28,62.5,61,24,,Excellent,"eye, skin and muscle disorders",
Curly Coated Retriever,,sporting,,,154,no data,,41,10.75,0,no data,,2,2,,,,large,no data,no data,64,25,,Average,none,
English Foxhound,,hound,,,171,no data,,46,no data,0,no data,,no data,no data,,,,large,no data,no data,61,24,,Average,none,
Entlebucher Mountain Dog,,herding,,,146,no data,,no data,no data,no data,"$1,167",,no data,no data,,,,medium,no data,no data,47,18.5,,no data,no data,
Field Spaniel,,sporting,,,141,no data,,34,9.9,0,no data,,1,2,,,,medium,no data,no data,44,17.5,,Above average,none,
Finnish Lapphund,,herding,,,104,no data,,no data,7.33,no data,no data,,1,1,,,,medium,no data,no data,47,18.5,,no data,no data,
Finnish Spitz,,non-sporting,,,167,no data,,43,11.17,0,no data,,2,1,,,,medium,no data,no data,45,17.75,,Average,none,
German Pinscher,,working,,,137,no data,,no data,11.42,no data,"$1,500",,no data,no data,,,,medium,no data,no data,47,18.5,,no data,no data,
German Wirehaired Pointer,,sporting,,,75,no data,,44,10,1,$655,,no data,no data,,,,large,no data,no data,61,24,,Average,hip problems,
Glen of Imaal Terrier,,terrier,,,158,no data,,no data,10.42,no data,no data,,no data,no data,,,,small,16,35,34,13.25,,no data,no data,
Great Pyrenees,,working,,,71,no data,,64,10,1,$503,,no data,no data,,,,large,no data,no data,72,28.5,,Fair,hip problems,
Greater Swiss Mountain Dog,,working,,,82,no data,,no data,6.8,1,"$1,605",,no data,no data,,,,large,no data,no data,66,26,,no data,hip problems,
Harrier,,hound,,,172,no data,,no data,no data,0,no data,,no data,no data,,,,medium,no data,no data,51,20,,no data,none,
Havanese,,toy,,,31,no data,,no data,10.25,0,$830,,no data,no data,,,,small,no data,no data,25,9.75,,no data,none,
Ibizan Hound,,hound,,,149,no data,,53,no data,0,"$1,500",,2,1,,,,large,no data,no data,64,25,,Average,none,
Icelandic Sheepdog,,herding,,,143,no data,,no data,no data,no data,no data,,no data,no data,,,,medium,no data,no data,44,17.25,,no data,no data,
Irish Red and White Setter,,sporting,,,147,no data,,no data,11.57,no data,"$1,000",,no data,no data,,,,large,no data,no data,62,24.25,,no data,no data,
Irish Terrier,,terrier,,,132,no data,,53,no data,0,$588,,2,1,,,,medium,12,26,46,18,,Average,none,
Irish Water Spaniel,,sporting,,,150,no data,,24,9.33,1,no data,,2,1,,,,medium,25,55,57,22.5,,Excellent,hip problems,
Japanese Chin,,toy,,,78,no data,,62,9.25,0,$513,,no data,no data,,,,small,no data,no data,24,9.5,,Fair,none,
Keeshond,,non-sporting,,,98,no data,,16,12.17,1,$610,,no data,no data,,,,medium,no data,no data,44,17.5,,Excellent,hip problems,
Komondor,,working,,,166,no data,,no data,9.17,1,$656,,no data,no data,,,,large,45,100,70,27.5,,no data,hip problems,
Kuvasz,,working,,,148,no data,,42,no data,1,no data,,no data,no data,,,,large,42,92.5,71,28,,Average,hip problems,
Lakeland Terrier,,terrier,,,135,no data,,62,no data,0,"$1,093",,2,1,,,,small,8,17,37,14.5,,Fair,none,
Leonberger,,working,,,103,"$15,141",,no data,6.98,no data,"$1,480",,2,1,,,,large,no data,no data,72,28.5,,no data,no data,
Looked - nothing,,,,,,,,,,,,,,,,,,,,,,,,,,
Löwchen,,non-sporting,,,152,no data,,no data,10,0,no data,,no data,no data,,,,small,no data,no data,33,13,,no data,none,
Manchester Terrier,,terrier,,,119,no data,,32,9.32,0,$720,,no data,no data,,,,small,8,17,no data,no data,,Above average,none,
Miniature Bull Terrier,,terrier,,,127,no data,,no data,6.6,0,"$1,740",,no data,no data,,,,small,no data,no data,30,12,,no data,none,
Miniature Pinscher,,toy,,,42,no data,,37,no data,0,$535,,no data,no data,,,,small,no data,no data,29,11.25,,Above average,none,
Neapolitan Mastiff,,working,,,110,no data,,no data,no data,1,"$1,760",,2,1,,,,large,59,130,70,27.5,,no data,hip problems,
Norwegian Buhund,,herding,,,165,no data,,no data,12.67,no data,no data,,no data,no data,,,,medium,15,33,44,17.25,,no data,no data,
Norwegian Elkhound,,hound,,,96,no data,,36,no data,1,$448,,no data,no data,,,,medium,23,51.5,51,20,,Above average,hip problems,
Norwegian Lundehund,,non-sporting,,,170,no data,,no data,no data,no data,no data,,no data,no data,,,,small,no data,no data,34,13.5,,no data,no data,
Norwich Terrier,,terrier,,,89,no data,,38,no data,0,"$1,245",,2,2,,,,small,5,12,25,10,,Above average,none,
NOT POSSIBLE IF NO INTELLIGENCE DATA,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia Duck Tolling Retriever,,sporting,,,107,"$12,653",,no data,6.5,1,"$1,500",,2,1,,,,medium,no data,no data,48,19,,no data,hip problems,
Otterhound,,hound,,,169,no data,,46,10.8,1,no data,,2,1,,,,large,44,97.5,65,25.5,,Average,hip problems,
Parson Russell Terrier,,terrier,,,97,no data,,no data,no data,0,$528,,2,2,,,,small,7,15,34,13.5,,no data,none,
Petit Basset Griffon Vendeen,,hound,,,131,no data,,62,12.7,0,$400,,no data,no data,,,,small,no data,no data,36,14,,Fair,none,
Plott,,hound,,,145,no data,,no data,no data,0,no data,,no data,no data,,,,medium,23,50,57,22.5,,no data,none,
Polish Lowland Sheepdog,,herding,,,159,no data,,no data,10.8,no data,no data,,2,2,,,,medium,no data,no data,47,18.5,,no data,no data,
Portuguese Water Dog,,working,,,56,no data,,no data,11.42,0,no data,,no data,no data,,,,medium,22,47.5,51,20,,no data,none,
Puli,,herding,,,156,no data,,27,no data,0,$913,,no data,no data,,,,medium,no data,no data,42,16.5,,Above average,none,
Pyrenean Shepherd,,herding,,,162,no data,,no data,no data,no data,no data,,no data,no data,,,,medium,no data,no data,46,18,,no data,no data,
Redbone Coonhound,,hound,,,126,no data,,no data,no data,0,$425,,no data,no data,,,,large,no data,no data,61,24,,no data,none,
Schipperke,,non-sporting,,,105,no data,,15,13,4,$658,,no data,no data,,,,small,no data,no data,29,11.5,,Excellent,"hair loss, diabetes, skin problems",
Scottish Deerhound,,hound,,,142,no data,,47,8.7,2,no data,,no data,no data,,,,large,42,92.5,no data,no data,,Average,"heart problems, fatal stomach bloat",
Sealyham Terrier,,terrier,,,163,no data,,56,12.25,1,no data,,no data,no data,,,,small,11,24,27,10.5,,Fair,eye problems,
Shiba Inu,,non-sporting,,,53,no data,,no data,7,1,$890,,no data,no data,,,,small,9,20,38,15,,no data,hip problems,
Silky Terrier,,toy,,,85,no data,,37,14.25,0,$448,,no data,no data,,,,small,5,10,24,9.5,,Above average,none,
Skye Terrier,,terrier,,,164,no data,,55,11,0,$550,,no data,no data,,,,small,18,40,25,9.75,,Fair,none,
Smooth Fox Terrier,,terrier,,,113,no data,,40,13.17,0,$575,,no data,no data,,,,small,8,17.5,38,15,,Average,none,
Soft-Coated Wheaten Terrier,,terrier,,,52,no data,,40,12.16,0,$832,,no data,no data,,,,medium,16,35,46,18,,Average,none,
Spinone Italiano,,sporting,,,123,no data,,no data,9,no data,"$1,725",,no data,no data,,,,large,no data,no data,62,24.5,,no data,no data,
Standard Schnauzer,,working,,,91,no data,,18,no data,1,$855,,no data,no data,,,,medium,no data,no data,47,18.5,,Excellent,hip problems,
Sussex Spaniel,,sporting,,,161,no data,,no data,11.17,0,no data,,2,3,,,,small,18,40,36,14,,no data,none,
Swedish Vallhund,,herding,,,153,"$22,839",,no data,14.17,no data,$772,,2,1,,,,small,no data,no data,32,12.5,,no data,no data,
Tibetan Mastiff,,working,,,122,"$23,747",,no data,11.92,no data,"$3,460",,2,1,,,,large,no data,no data,64,25,,no data,no data,
Toy Fox Terrier,,toy,,,101,no data,,no data,no data,no data,$460,,no data,no data,,,,small,no data,no data,25,10,,no data,no data,
Vizsla,,sporting,,,37,no data,,25,12.5,0,$935,,no data,no data,,,,medium,no data,no data,57,22.5,,Excellent,none,
Weimaraner,,sporting,,,32,no data,,21,no data,1,$562,,2,1,,,,large,no data,no data,64,25,,Excellent,hip problems,
Welsh Terrier,,terrier,,,99,no data,,53,no data,0,$843,,2,1,,,,small,9,20,38,15,,Average,none,
Wire Fox Terrier,,terrier,,,100,no data,,51,13.17,0,$668,,no data,no data,,,,small,8,17.5,38,15,,Average,none,
Wirehaired Pointing Griffon,,sporting,,,92,no data,,46,8.8,0,$755,,no data,no data,,,,medium,no data,no data,56,22,,Average,none,
Xoloitzcuintli,,non-sporting,,,155,no data,,no data,no data,no data,$717,,no data,no data,,,,medium,no data,no data,42,16.5,,no data,no data,
